date,event,favors,category,major
1917-11-07,October Revolution: Bolsheviks seize power,Reds,political,1
1918-02-10,Repudiation of Tsarist state debts,Reds,financial,1
1918-03-03,Brest-Litovsk: Russia exits WW1,Reds,political,1
1918-05-25,Czechoslovak Legion revolt opens the Volga front,Whites,military,1
1918-08-02,Allied intervention: landings at Archangel,Whites,political,1
1918-11-18,Kolchak proclaimed Supreme Ruler at Omsk,Whites,political,1
1918-11-11,WW1 armistice frees Allied resources; Black Sea opened,Whites,political,1
1919-03-04,Kolchak spring offensive toward the Volga,Whites,military,1
1919-04-28,Red counter-offensive against Kolchak begins,Reds,military,1
1919-06-30,Denikin takes Tsaritsyn; Moscow Directive (3 Jul),Whites,military,1
1919-08-23,Denikin takes Odessa & Kiev,Whites,military,0
1919-10-13,Denikin takes Orel - closest approach to Moscow,Whites,military,1
1919-10-20,Yudenich reaches the outskirts of Petrograd,Whites,military,1
1919-10-24,Red counterblows: Orel retaken; Yudenich repulsed,Reds,military,1
1919-11-14,Omsk falls; Kolchak's army disintegrates,Reds,military,1
1920-01-04,Kolchak abdicates (shot 7 Feb),Reds,political,1
1920-03-27,Novorossiysk evacuation: Denikin's army broken,Reds,military,1
1920-04-25,Polish offensive takes Kiev (Soviet-Polish war),Whites,military,1
1920-08-16,Miracle on the Vistula: Poles rout Red Army at Warsaw,Whites,military,1
1920-11-14,Wrangel evacuates Crimea: organized White resistance ends,Reds,military,1
1921-03-18,Peace of Riga; Kronstadt rebellion crushed,Reds,political,1
1922-04-16,Genoa conference & Rapallo treaty (debt-settlement hopes dashed),Reds,financial,1
